Unnamed: 0,institute_type,round_no,Branch,quota,category,Closing_CutOff,location,College Name
0,Private,1, Civil Engineering,Other,OPEN,52,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
1,Private,1, Civil Engineering,Other,SC,40,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
2,Private,1, Civil Engineering,Other,ST,24,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
3,Private,1, Civil Engineering,Other,VJ,36,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
4,Private,1, Civil Engineering,Other,NT1,36,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
5,Private,1, Civil Engineering,Other,NT2,23,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
6,Private,1, Civil Engineering,Other,NT3,45,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
7,Private,1, Civil Engineering,Other,OBC,46,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
8,Private,1, Civil Engineering,Other,LOPEN,51,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
9,Private,1, Civil Engineering,Other,LSC,42,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
10,Private,1, Civil Engineering,Other,LST,7,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
11,Private,1, Civil Engineering,Other,LNT1,51,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
12,Private,1, Civil Engineering,Other,LNT2,36,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
13,Private,1, Civil Engineering,Other,LOBC,32,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
14,Private,2, Civil Engineering,Other,OPEN,51,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
15,Private,2, Civil Engineering,Other,SC,39,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
16,Private,2, Civil Engineering,Other,ST,43,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
17,Private,2, Civil Engineering,Other,VJ,10,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
18,Private,2, Civil Engineering,Other,OBC,39,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
19,Private,2, Civil Engineering,Other,LOPEN,48,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
20,Private,2, Civil Engineering,Other,LOBC,31,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
21,Private,1,Computer Science and Engineering,Other,OPEN,95,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
22,Private,1,Computer Science and Engineering,Other,SC,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
23,Private,1,Computer Science and Engineering,Other,ST,76,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
24,Private,1,Computer Science and Engineering,Other,VJ,89,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
25,Private,1,Computer Science and Engineering,Other,NT1,94,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
26,Private,1,Computer Science and Engineering,Other,NT2,93,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
27,Private,1,Computer Science and Engineering,Other,NT3,88,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
28,Private,1,Computer Science and Engineering,Other,OBC,94,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
29,Private,1,Computer Science and Engineering,Other,LOPEN,94,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
30,Private,1,Computer Science and Engineering,Other,LSC,91,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
31,Private,1,Computer Science and Engineering,Other,LST,82,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
32,Private,1,Computer Science and Engineering,Other,LVJ,87,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
33,Private,1,Computer Science and Engineering,Other,LNT1,91,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
34,Private,1,Computer Science and Engineering,Other,LNT2,90,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
35,Private,1,Computer Science and Engineering,Other,LNT3,78,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
36,Private,1,Computer Science and Engineering,Other,LOBC,94,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
37,Private,2,Computer Science and Engineering,Other,OPEN,94,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
38,Private,2,Computer Science and Engineering,Other,SC,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
39,Private,2,Computer Science and Engineering,Other,ST,74,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
40,Private,2,Computer Science and Engineering,Other,OBC,93,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
41,Private,2,Computer Science and Engineering,Other,LOPEN,94,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
42,Private,1,Information Technology,Other,OPEN,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
43,Private,1,Information Technology,Other,SC,90,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
44,Private,1,Information Technology,Other,ST,71,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
45,Private,1,Information Technology,Other,VJ,87,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
46,Private,1,Information Technology,Other,NT1,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
47,Private,1,Information Technology,Other,NT2,89,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
48,Private,1,Information Technology,Other,NT3,85,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
49,Private,1,Information Technology,Other,OBC,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
50,Private,1,Information Technology,Other,LOPEN,93,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
51,Private,1,Information Technology,Other,LSC,89,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
52,Private,1,Information Technology,Other,LST,66,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
53,Private,1,Information Technology,Other,LVJ,84,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
54,Private,1,Information Technology,Other,LNT1,90,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
55,Private,1,Information Technology,Other,LNT2,85,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
56,Private,1,Information Technology,Other,LOBC,93,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
57,Private,2,Information Technology,Other,OPEN,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
58,Private,2,Information Technology,Other,SC,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
59,Private,2,Information Technology,Other,ST,67,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
60,Private,2,Information Technology,Other,VJ,86,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
61,Private,2,Information Technology,Other,NT2,91,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
62,Private,2,Information Technology,Other,OBC,91,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
63,Private,2,Information Technology,Other,LOPEN,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
64,Private,2,Information Technology,Other,LOBC,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
65,Private,1,Computer Technology,Other,OPEN,91,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
66,Private,1,Computer Technology,Other,SC,87,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
67,Private,1,Computer Technology,Other,ST,60,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
68,Private,1,Computer Technology,Other,VJ,83,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
69,Private,1,Computer Technology,Other,NT1,86,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
70,Private,1,Computer Technology,Other,NT2,83,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
71,Private,1,Computer Technology,Other,NT3,84,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
72,Private,1,Computer Technology,Other,OBC,90,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
73,Private,2,Computer Technology,Other,OPEN,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
74,Private,2,Computer Technology,Other,SC,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
75,Private,2,Computer Technology,Other,ST,57,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
76,Private,2,Computer Technology,Other,VJ,87,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
77,Private,2,Computer Technology,Other,NT2,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
78,Private,2,Computer Technology,Other,OBC,91,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
79,Private,2,Computer Technology,Other,LOPEN,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
80,Private,2,Computer Technology,Other,LOBC,92,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
81,Private,1,Computer Science and Design,Other,OPEN,86,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
82,Private,1,Computer Science and Design,Other,SC,83,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
83,Private,1,Computer Science and Design,Other,ST,45,Nagpur,Yashvantrao Chavhan College of Engineering (YCCE)
